I2 I3
F2 A9
I9 D12
H5 D2
I9 N10
B4 E4
D5 I6
A9 C9
F7 C9
B4 A10
I2 B11
D2 A9
I9 H7
H10 F12
C9 I3
H10 L10
I3 B4
F6 M1
B4 E8
H10 M5
E8 D2
H10 C5
D5 G12
H10 C9
I9 H8
A9 L3
D5 E3
F6 M12
D2 L6
F6 G8
B6 C2
L3 I6
L6 G8
I6 A9
I2 B5
H10 B11
I9 E8
H10 C10
C2 G5
F6 E1
I9 C9
A9 L2
D5 H7
H10 C11
D5 L1
C9 I3
I9 L4
I3 D7
G5 C12
B4 C1
I2 N3
D7 L8
D5 F4
L2 C11
C12 B1
L8 I7
B1 M7
H10 L4
D5 N12
H10 B4
I2 L8
F6 I2
G8 C9
I7 I6
C9 F9
I6 I4
D5 C3
C11 D4
F9 I12
B4 L1
I2 L9
F6 N3
I12 I4
F6 B11
I2 F5
H10 F8
I9 M1
B4 C12
D5 L11
B4 N10
M7 G6
D4 D4
I4 D9
F6 L6
D5 B2
D4 M3
I9 M1
B4 B8
I9 I12
M3 E10
G6 G3
F6 B8
G3 G12
E10 C5
D9 B7
H10 M7
D5 E7
C5 D7
D5 H3
I4 N3
G12 D11
F6 A4
I2 A12
B4 N11
D11 E1
H10 F4
I9 N12
N3 D11
E1 B3
F6 B1
B7 G6
D7 C9
I2 M3
D11 G6
I2 H2
C9 H6
B3 C1
G6 G8
D5 G5
G8 N6
G6 B7
B4 I11
I9 C10
H10 B12
B7 M5
N6 E10
C1 I12
F6 A8
D5 L1
H10 B6
D5 I1
B4 E12
M5 E9
E10 N5
D5 D9
H10 D9
D5 L6
H6 A5
I2 M11
B4 E8
I9 C4
N5 I7
I9 H5
F6 G10
I2 M5
A5 M10
I2 A1
H10 A5
D5 F12
B4 L3
D5 F3
B4 M11
D5 G6
F6 B11
E9 H4
B4 M2
I12 B11
I7 C10
I2 M5
B4 E11
I2 E1
B4 I9
I2 F1
F6 A2
D5 C1
M10 A10
B11 H12
F6 G11
D5 N10
F6 F8
H12 M1
F6 L10
I2 N6
B4 I3
I2 B8
H10 N11
I9 C10
A10 E10
H4 B6
F6 G7
I2 N2
F6 H6
M1 G3
H10 L3
I2 N9
H10 A4
I9 E2
H10 G12
I9 I4
H10 N3
D5 G5
C10 M10
D5 F12
B4 C3
G3 G5
H10 D11
B6 B3
F6 N3
I2 N10
F6 L4
I2 D6
H10 F5
G5 M1
M10 B11
I9 B3
F6 I10
I9 F4
B4 H3
I2 C1
H10 L4
D5 D2
H10 B3
I2 I7
B4 L2
M1 C2
B4 L8
C2 E11
B11 E2
E11 M11
F6 H12
I2 E11
E2 G4
M11 G10
F6 F9
G10 H3
F6 F5
H3 M4
G4 N6
D5 B7
B4 N10
I2 D6
E10 B9
I9 G8
B4 A10
I2 N5
B4 H3
D5 E9
H10 B8
I2 G5
B4 I2
I9 H4
F6 D12
M4 C9
B4 E8
I2 I3
B9 C8
C9 B6
F6 N11
B6 L3
N6 G7
L3 H3
G7 E9
I2 B9
H10 M11
I2 F4
E9 A4
I9 H8
C8 N11
H3 L12
A4 G2
D5 A2
F6 M5
I2 E2
F6 E10
L12 C8
N11 H7
I2 I11
H10 F4
D5 B3
B4 A4
I9 M10
G2 I6
D5 A10
F6 E6
I9 E11
F6 E8
D5 G3
H7 M11
D5 G6
M11 C7
C8 F7
H10 H3
F7 B1
I6 D6
I2 F3
D6 I8
I9 M1
H10 L11
B1 F8
H10 F7
I9 D3
C7 A6
D5 B10
H10 D5
I2 D1
A6 H3
I2 M11
H3 D4
I2 C4
B4 G1
F8 G7
F6 N4
I2 N6
D4 H7
I2 G4
I8 C7
D5 E3
C7 N3
G7 L4
H7 H2
L4 F5
N3 A11
I2 N5
H10 M3
F5 C10
B4 I6
D5 F1
H10 B10
D5 D6
A11 A4
I2 H8
F6 D1
D5 I1
H2 N5
D5 D1
H10 F12
D5 C12
N5 M3
I2 B5
M3 N7
D5 F9
B4 F10
I2 A12
F6 C6
I9 M11
A4 F2
C10 M5
B4 N9
M5 E11
H10 C5
E11 D11
N7 D10
I2 E4
H10 C6
D11 D9
H10 B9
I9 I7
F2 N2
I2 H7
B4 G3
D5 B9
H10 A1
I9 F4
B4 I12
I9 A7
D10 H4
I9 D3
F6 D9
D5 B5
B4 B7
D5 C8
B4 E11
I9 L7
H10 I7
D5 I10
N2 L2
D5 B12
F6 A9
I9 F6
H4 C4
I9 D2
F6 A3
I9 L10
F6 H11
I9 F2
C4 A11
D5 A2
L2 A3
D5 L1
A3 D9
I9 C2
F6 H1
I9 G7
H10 A12
I9 A10
D9 H6
I2 M5
F6 N11
I9 C2
B4 M5
D5 G11
A11 C2
I9 L3
F6 D3
I9 L11
B4 E9
I9 G2
F6 I9
I9 H7
F6 B3
I9 B3
C2 E11
I9 I4
F6 B11
D5 G9
E11 E7
I2 B2
B4 G12
D5 F7
H10 G12
I2 G8
B4 A2
I9 M12
B4 B2
I2 H1
H10 B1
I9 M9
F6 B12
D5 N11
H10 F3
I9 L8
H6 D9
I9 N2
F6 M2
D5 L3
E7 N9
I2 F8
B4 L9
I2 M1
B4 E10
I2 F4
D9 E11
I9 E10
B4 E9
I9 C4
B4 G5
D5 G8
N9 M11
I2 D7
E11 M3
I2 L7
H10 E5
I9 F6
M11 H6
I9 M10
F6 F3
I2 N5
B4 C5
D5 D8
H10 M7
D5 H10
H10 I2
I2 L9
F6 C7
I2 I11
B4 N11
I2 G4
B4 H10
I9 D3
H10 F6
I2 B3
F6 E3
D5 E9
F6 I12
I9 D11
F6 E11
I2 C3
B4 I11
I2 F12
H10 D7
D5 I9
B4 A12
I9 F9
F6 E9
I9 C2
H10 F7
D5 E4
M3 A9
I9 F5
H10 I2
D5 C10
H6 A2
I2 G1
B4 M1
I9 E6
A2 G4
I2 I4
B4 M1
D5 B5
H10 C1
I2 M5
B4 G12
I9 N12
A9 M7
I9 E11
B4 H2
D5 C4
H10 C9
I9 M9
H10 L12
I9 I10
B4 D5
I2 L10
G4 I4
I2 A3
I4 N4
I2 A2
M7 L6
I2 L4
L6 F6
I9 N9
B4 L4
D5 G5
N4 M6
D5 C12
F6 C2
I2 C8
C2 C7
I2 G1
H10 A1
I2 H2
H10 E8
I2 A2
B4 B5
I9 L1
H10 F8
I9 D9
B4 F3
D5 F3
B4 D6
I9 M5
H10 B1
I2 L12
B4 A12
I9 M8
C7 E7
D5 L10
B4 M7
D5 G8
E7 E4
I9 F2
H10 G9
I2 I5
M6 F4
D5 B8
E4 F8
D5 F6
H10 M5
D5 H9
H10 D2
I2 A1
H10 G4
D5 H1
B4 M4
I2 E7
B4 E3
I9 F6
B4 H10
I2 N12
F4 C8
I2 D10
C8 G8
D5 I6
B4 G6
I2 M5
F8 I7
D5 H2
H10 I9
D5 M10
H10 M5
I9 F4
B4 D5
I2 G12
